elevation_ft,surface_area_acres,capacity_af
1129,101100.0,17040000.0
1130,101500.0,17141000.0
1131,101900.0,17243000.0
1132,102300.0,17345000.0
1133,102800.0,17448000.0
1134,103200.0,17551000.0
1135,103700.0,17654000.0
1136,104800.0,17758000.0
1137,105500.0,17863000.0
1138,106100.0,17969000.0
1139,106600.0,18076000.0
1140,107100.0,18182000.0
1141,107700.0,18290000.0
1142,108200.0,18398000.0
1143,108700.0,18506000.0
1144,109200.0,18615000.0
1145,109700.0,18725000.0
1146,110200.0,18835000.0
1147,110800.0,18945000.0
1148,111300.0,19056000.0
1149,111800.0,19168000.0
1150,112300.0,19280000.0
1151,112900.0,19392000.0
1152,113600.0,19506000.0
1153,114100.0,19619000.0
1154,114600.0,19734000.0
1155,115200.0,19849000.0
1156,115600.0,19964000.0
1157,116200.0,20080000.0
1158,116800.0,20196000.0
1159,117400.0,20313000.0
1160,118000.0,20431000.0
1161,118600.0,20549000.0
1162,119200.0,20668000.0
1163,119800.0,20788000.0
1164,120400.0,20908000.0
1165,121100.0,21029000.0
1166,121800.0,21150000.0
1167,122500.0,21272000.0
1168,123200.0,21395000.0
1169,123800.0,21518000.0
1170,124700.0,21643000.0
1171,125400.0,21768000.0
1172,126100.0,21893000.0
1173,126900.0,22020000.0
1174,127700.0,22147000.0
1175,128400.0,22275000.0
1176,129100.0,22404000.0
1177,129800.0,22533000.0
1178,130500.0,22664000.0
1179,131200.0,22794000.0
1180,131800.0,22926000.0
1181,132400.0,23058000.0
1182,133100.0,23191000.0
1183,133700.0,23324000.0
1184,134300.0,23458000.0
1185,134900.0,23593000.0
1186,135600.0,23728000.0
1187,136200.0,23864000.0
1188,136900.0,24000000.0
1189,137600.0,24138000.0
1190,138200.0,24275000.0
1191,138900.0,24414000.0
1192,139500.0,24553000.0
1193,140200.0,24693000.0
1194,140900.0,24834000.0
1195,141600.0,24975000.0
1196,142200.0,25117000.0
1197,142900.0,25259000.0
1198,143500.0,25402000.0
1199,144200.0,25546000.0
1200,144800.0,25691000.0
1201,145500.0,25836000.0
1202,146200.0,25982000.0
1203,147100.0,26128000.0
1204,147800.0,26276000.0
1205,148500.0,26424000.0
1206,149300.0,26573000.0
1207,150000.0,26722000.0
1208,150600.0,26873000.0
1209,151300.0,27024000.0
1210,151900.0,27175000.0
1211,152600.0,27328000.0
1212,153200.0,27481000.0
1213,153800.0,27634000.0
1214,154400.0,27788000.0
1215,155000.0,27943000.0
1216,155500.0,28098000.0
1217,156100.0,28254000.0
1218,156600.0,28410000.0
1219,157100.0,28567000.0
1220,157700.0,28724000.0
1221,158300.0,28882000.0
1222,158900.0,29041000.0
1223,159500.0,29200000.0
1224,160100.0,29360000.0
1225,160700.0,29520000.0
1226,161200.0,29681000.0
1227,161800.0,29843000.0
1228,162300.0,30005000.0
