elevation_ft,surface_area_acres,capacity_af
3380,20354.0,1907563.0
3381,20516.0,1927997.0
3382,20686.0,1948599.0
3383,20843.0,1969363.0
3384,20988.0,1990279.0
3385,21122.0,2011334.0
3386,21297.0,2032536.0
3387,21498.0,2053930.0
3388,21734.0,2075542.0
3389,22011.0,2097416.0
3390,22249.0,2119544.0
3391,22503.0,2141920.0
3392,22757.0,2164547.0
3393,23062.0,2187453.0
3394,23409.0,2210688.0
3395,23742.0,2234262.0
3396,24054.0,2258161.0
3397,24305.0,2282347.0
3398,24510.0,2306755.0
3399,24724.0,2331368.0
3400,24933.0,2356199.0
3401,25131.0,2381231.0
3402,25328.0,2406459.0
3403,25536.0,2431892.0
3404,25730.0,2457527.0
3405,25909.0,2483346.0
3406,26086.0,2509343.0
3407,26263.0,2535516.0
3408,26440.0,2561866.0
3409,26613.0,2588393.0
3410,26784.0,2615092.0
3411,26952.0,2641960.0
3412,27116.0,2668992.0
3413,27282.0,2696190.0
3414,27443.0,2723553.0
3415,27601.0,2751074.0
3416,27759.0,2778753.0
3417,27914.0,2806589.0
3418,28072.0,2834582.0
3419,28228.0,2862731.0
3420,28386.0,2891037.0
3421,28544.0,2919502.0
3422,28702.0,2948124.0
3423,28861.0,2976905.0
3424,29019.0,3005844.0
3425,29215.0,3034951.0
3426,29485.0,3064302.0
3427,29749.0,3093920.0
3428,30017.0,3123800.0
3429,30265.0,3153939.0
3430,30513.0,3184329.0
3431,30736.0,3214953.0
3432,30968.0,3245805.0
3433,31198.0,3276888.0
3434,31450.0,3308206.0
3435,31710.0,3339789.0
3436,31953.0,3371623.0
3437,32173.0,3403687.0
3438,32386.0,3435966.0
3439,32601.0,3468458.0
3440,32818.0,3501167.0
3441,33058.0,3534102.0
3442,33292.0,3567278.0
3443,33514.0,3600681.0
3444,33741.0,3634306.0
3445,33974.0,3668164.0
3446,34216.0,3702257.0
3447,34495.0,3736608.0
3448,34744.0,3771231.0
3449,34981.0,3806092.0
3450,35206.0,3841186.0
3451,35437.0,3876506.0
3452,35686.0,3912065.0
3453,35951.0,3947884.0
3454,36210.0,3983964.0
3455,36462.0,4020301.0
3456,36706.0,4056884.0
3457,36965.0,4093719.0
3458,37243.0,4130819.0
3459,37497.0,4168190.0
3460,37763.0,4205817.0
3461,38024.0,4243711.0
3462,38270.0,4281857.0
3463,38533.0,4320259.0
3464,38781.0,4358916.0
3465,39035.0,4397821.0
3466,39286.0,4436981.0
3467,39537.0,4476393.0
3468,39786.0,4516052.0
3469,40042.0,4555967.0
3470,40287.0,4596134.0
3471,40532.0,4636541.0
3472,40787.0,4677201.0
3473,41049.0,4718118.0
3474,41317.0,4759299.0
3475,41600.0,4800758.0
3476,41864.0,4842490.0
3477,42131.0,4884488.0
3478,42390.0,4926749.0
3479,42652.0,4969269.0
3480,42923.0,5012055.0
3481,43190.0,5055111.0
3482,43456.0,5098434.0
3483,43721.0,5142022.0
3484,43983.0,5185874.0
3485,44245.0,5229986.0
3486,44512.0,5274364.0
3487,44795.0,5319014.0
3488,45071.0,5363946.0
3489,45372.0,5409161.0
3490,45725.0,5454712.0
3491,46029.0,5500590.0
3492,46337.0,5546768.0
3493,46670.0,5593269.0
3494,47008.0,5640112.0
3495,47332.0,5687282.0
3496,47640.0,5734768.0
3497,47950.0,5782562.0
3498,48262.0,5830667.0
3499,48568.0,5879081.0
3500,48876.0,5927802.0
3501,49195.0,5976838.0
3502,49506.0,6026188.0
3503,49821.0,6075850.0
3504,50143.0,6125831.0
3505,50479.0,6176141.0
3506,50838.0,6226795.0
3507,51206.0,6277816.0
3508,51572.0,6329203.0
3509,51933.0,6380957.0
3510,52277.0,6433062.0
3511,52623.0,6485512.0
3512,52976.0,6538311.0
3513,53334.0,6591465.0
3514,53699.0,6644982.0
3515,54063.0,6698867.0
3516,54408.0,6753102.0
3517,54751.0,6807681.0
3518,55101.0,6862606.0
3519,55461.0,6917887.0
3520,55809.0,6973521.0
3521,56158.0,7029505.0
3522,56508.0,7085836.0
3523,56854.0,7142517.0
3524,57201.0,7199544.0
3525,57552.0,7256920.0
3526,57901.0,7314647.0
3527,58250.0,7372720.0
3528,58609.0,7431150.0
3529,58971.0,7489939.0
3530,59344.0,7549095.0
3531,59725.0,7608629.0
3532,60097.0,7668540.0
3533,60461.0,7728819.0
3534,60825.0,7789461.0
3535,61191.0,7850468.0
3536,61555.0,7911840.0
3537,61916.0,7973575.0
3538,62278.0,8035670.0
3539,62643.0,8098130.0
3540,63017.0,8160959.0
3541,63395.0,8224164.0
3542,63775.0,8287747.0
3543,64158.0,8351713.0
3544,64539.0,8416060.0
3545,64919.0,8480789.0
3546,65301.0,8545899.0
3547,65680.0,8611389.0
3548,66063.0,8677258.0
3549,66456.0,8743518.0
3550,66845.0,8810167.0
3551,67248.0,8877212.0
3552,67650.0,8944661.0
3553,68045.0,9012507.0
3554,68450.0,9080753.0
3555,68860.0,9149407.0
3556,69262.0,9218467.0
3557,69668.0,9287931.0
3558,70069.0,9357800.0
3559,70473.0,9428069.0
3560,70886.0,9498746.0
3561,71338.0,9569843.0
3562,71754.0,9641388.0
3563,72293.0,9713425.0
3564,72719.0,9785928.0
3565,73155.0,9858865.0
3566,73577.0,9932230.0
3567,74008.0,10006020.0
3568,74447.0,10080246.0
3569,74889.0,10154913.0
3570,75348.0,10230029.0
3571,75814.0,10305611.0
3572,76274.0,10381653.0
3573,76731.0,10458155.0
3574,77180.0,10535110.0
3575,77624.0,10612512.0
3576,78063.0,10690355.0
3577,78507.0,10768637.0
3578,78967.0,10847373.0
3579,79420.0,10926563.0
3580,79896.0,11006224.0
3581,80372.0,11086358.0
3582,80827.0,11166957.0
3583,81276.0,11248007.0
3584,81726.0,11329506.0
3585,82177.0,11411455.0
3586,82626.0,11493855.0
3587,83077.0,11576705.0
3588,83534.0,11660009.0
3589,84004.0,11743776.0
3590,84494.0,11828022.0
3591,85528.0,11913111.0
3592,86037.0,11998892.0
3593,86546.0,12085182.0
3594,87050.0,12171979.0
3595,87536.0,12259269.0
3596,88017.0,12347043.0
3597,88500.0,12435298.0
3598,89030.0,12524059.0
3599,89541.0,12613341.0
3600,90083.0,12703145.0
3601,90663.0,12793520.0
3602,91176.0,12884440.0
3603,91653.0,12975855.0
3604,92178.0,13067778.0
3605,92678.0,13160230.0
3606,93217.0,13253162.0
3607,93835.0,13346664.0
3608,94539.0,13440880.0
3609,95036.0,13535673.0
3610,95615.0,13630962.0
3611,96150.0,13726853.0
3612,96748.0,13823267.0
3613,97545.0,13920407.0
3614,98295.0,14018325.0
3615,99084.0,14117025.0
3616,99873.0,14216499.0
3617,100715.0,14316798.0
3618,101547.0,14417920.0
3619,102373.0,14519865.0
3620,103101.0,14622608.0
3621,103835.0,14726087.0
3622,104506.0,14830258.0
3623,105178.0,14935102.0
3624,105832.0,15040607.0
3625,106520.0,15146780.0
3626,107208.0,15253647.0
3627,107876.0,15361185.0
3628,108556.0,15469403.0
3629,109227.0,15578293.0
3630,109888.0,15687850.0
3631,110559.0,15798068.0
3632,111249.0,15908969.0
3633,111972.0,16020573.0
3634,112760.0,16132935.0
3635,113530.0,16246086.0
3636,114213.0,16359959.0
3637,114863.0,16474495.0
3638,115511.0,16589680.0
3639,116142.0,16705505.0
3640,116779.0,16821964.0
3641,117418.0,16939063.0
3642,118042.0,17056793.0
3643,118657.0,17175140.0
3644,119287.0,17294109.0
3645,119929.0,17413716.0
3646,120574.0,17533966.0
3647,121218.0,17654860.0
3648,121864.0,17776400.0
3649,122508.0,17898584.0
3650,123136.0,18021407.0
3651,123755.0,18144850.0
3652,124390.0,18268919.0
3653,125022.0,18393623.0
3654,125650.0,18518958.0
3655,126272.0,18644918.0
3656,126894.0,18771499.0
3657,127518.0,18898702.0
3658,128153.0,19026537.0
3659,128794.0,19155008.0
3660,129438.0,19284124.0
3661,130071.0,19413872.0
3662,130744.0,19544277.0
3663,131416.0,19675353.0
3664,132068.0,19807094.0
3665,132731.0,19939490.0
3666,133383.0,20072546.0
3667,134040.0,20206255.0
3668,134708.0,20340628.0
3669,135358.0,20475659.0
3670,136026.0,20611348.0
3671,136724.0,20747718.0
3672,137440.0,20884800.0
3673,138119.0,21022581.0
3674,138808.0,21161036.0
3675,139559.0,21300217.0
3676,140319.0,21440154.0
3677,141083.0,21580856.0
3678,141790.0,21722293.0
3679,142505.0,21864434.0
3680,143269.0,22007316.0
3681,144048.0,22150975.0
3682,144819.0,22295406.0
3683,145566.0,22440602.0
3684,146311.0,22586536.0
3685,147103.0,22733237.0
3686,147928.0,22880750.0
3687,148713.0,23029074.0
3688,149471.0,23178164.0
3689,150241.0,23328017.0
3690,151022.0,23478649.0
3691,151779.0,23630048.0
3692,152559.0,23782214.0
3693,153323.0,23935157.0
3694,154063.0,24088848.0
3695,154778.0,24243267.0
3696,155489.0,24398397.0
3697,156170.0,24554224.0
3698,156857.0,24710738.0
3699,157543.0,24867935.0
3700,158234.0,25025826.0
3701,158921.0,25184393.0
3702,159599.0,25343654.0
3703,160272.0,25503583.0
3704,160973.0,25664202.0
3705,161689.0,25825532.0
3706,162406.0,25987579.0
3707,163122.0,26150343.0
3708,163829.0,26313820.0
3709,164523.0,26477993.0
